short_window,long_window,volume_mavg_Value,MaRateUp,VolumeSellRate,rsi_period,rsiValueThd,rsiRateUp,divergence_threshold,Train_Sharpe,Train_AnnRet,Train_MaxDD,Train_Trades,Train_WinRate,Valid_Sharpe,Valid_AnnRet,Valid_MaxDD,Valid_Trades,Valid_WinRate,Score_train
4,14,10,0.98,3,13,30,1.02,0.02,0.4806588595725309,0.0418244953061111,-0.07824588492267481,30,0.5333333333333333,1.8312702726207428,0.209872320885518,-0.05377340623599494,12,0.6666666666666666,1.426086848706279
4,14,10,0.96,3,10,29,1.6,0.02,0.4584921880131573,0.03963398268961971,-0.07824588492267481,29,0.4827586206896552,1.8396244592490278,0.21308717943760414,-0.05377340623599494,13,0.6923076923076923,1.4252847778782667
4,14,10,0.95,3,15,28,1.28,0.017,0.5586156548999681,0.056725158499284056,-0.09805603129588641,36,0.4444444444444444,1.7772280811202474,0.21094224538009487,-0.0537317946027599,11,0.6363636363636364,1.4116443532541636
5,17,10,0.97,3,11,28,1.14,0.017,0.5655745270963239,0.059031530624318984,-0.09973073666583232,30,0.5666666666666667,1.7741176813714272,0.22227340801645878,-0.07127005081071097,8,0.875,1.4115547350888962
3,18,10,0.95,3,15,33,1.28,0.028,0.7165924455413255,0.06388293883212492,-0.07465784728503094,19,0.631578947368421,1.704067745378018,0.18322928642029335,-0.06883250031205163,12,0.5,1.4078251554270103
5,15,10,0.95,3,11,25,1.22,0.031,0.3559285735893326,0.02718071642929809,-0.10365771299999961,14,0.42857142857142855,1.8554385913318874,0.1798906789132242,-0.0650612232472129,7,0.7142857142857143,1.4055855860091209
5,15,10,1.04,3,12,33,1.16,0.015,0.5056607637699212,0.04795925460642736,-0.11054230157469308,28,0.4642857142857143,1.7911173716346076,0.22864317114678512,-0.06889984677168744,9,0.7777777777777778,1.4054803892752015
4,14,10,1.01,3,12,27,1.48,0.02,0.39339096286353303,0.032733204532913396,-0.07823130950433321,26,0.46153846153846156,1.8312702726207428,0.209872320885518,-0.05377340623599494,12,0.6666666666666666,1.3999064796935796
3,18,10,1.18,3,16,29,1.44,0.028,0.7336265484137654,0.058258094994259935,-0.07433141418948574,13,0.7692307692307693,1.6818452509267428,0.16679784451980395,-0.046982422335193216,11,0.45454545454545453,1.3973796401728495
3,18,10,1.15,3,18,25,1.56,0.028,0.7310943828843043,0.05977329903154449,-0.07433141418948574,14,0.7857142857142857,1.6818452509267428,0.16679784451980395,-0.046982422335193216,11,0.45454545454545453,1.3966199905140113
